train_task,split,rows,threshold_visual,threshold_depth,threshold_policy,threshold_action,accuracy,macro_f1,missed_high_risk_step_rate,false_alarm_on_continue_rate,route_diversity
NeedlePick,calibration,5362,0.45,0.45,0.6,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.45,0.6,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.45,0.6,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.55,0.35,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.35,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.35,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.35,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.35,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.55,0.4,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.4,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.4,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.4,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.4,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.55,0.45,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.45,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.45,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.45,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.45,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.55,0.5,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.5,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.5,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.5,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.5,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.55,0.52,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.52,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.52,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.52,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.52,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.55,0.55,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.55,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.55,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.55,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.55,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.55,0.6,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.6,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.6,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.6,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.55,0.6,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.65,0.35,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.35,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.35,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.35,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.35,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.65,0.4,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.4,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.4,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.4,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.4,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.65,0.45,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.45,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.45,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.45,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.45,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.65,0.5,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.5,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.5,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.5,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.5,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.65,0.52,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.52,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.52,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.52,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.52,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.65,0.55,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.55,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.55,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.55,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.55,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.65,0.6,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.6,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.6,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.6,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.65,0.6,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.7,0.35,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.35,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.35,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.35,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.35,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.7,0.4,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.4,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.4,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.4,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.4,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.7,0.45,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.45,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.45,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.45,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.45,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.7,0.5,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.5,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.5,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.5,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.5,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.7,0.52,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.52,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.52,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.52,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.52,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.7,0.55,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.55,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.55,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.55,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.55,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.7,0.6,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.6,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.6,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.6,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.7,0.6,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.8,0.35,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.35,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.35,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.35,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.35,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.8,0.4,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.4,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.4,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.4,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.4,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.8,0.45,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.45,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.45,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.45,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.45,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.8,0.5,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.5,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.5,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.5,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.5,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.8,0.52,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.52,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.52,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.52,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.52,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.8,0.55,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.55,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.55,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.55,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.55,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.8,0.6,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.6,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.6,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.6,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.8,0.6,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.9,0.35,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.35,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.35,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.35,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.35,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.9,0.4,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.4,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.4,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.4,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.4,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.9,0.45,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.45,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.45,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.45,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.45,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.9,0.5,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.5,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.5,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.5,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.5,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.9,0.52,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.52,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.52,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.52,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.52,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.9,0.55,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.55,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.55,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.55,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.55,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.45,0.9,0.6,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.6,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.6,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.6,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.45,0.9,0.6,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.5,0.45,0.35,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.35,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.35,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.35,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.35,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.5,0.45,0.4,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.4,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.4,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.4,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.4,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.5,0.45,0.45,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.45,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.45,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.45,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.45,0.45,1.0,1.0,0.0,0.0,4
NeedlePick,calibration,5362,0.5,0.45,0.5,0.25,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.5,0.3,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.5,0.35,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.5,0.4,0.9973890339425587,0.9955510421505462,0.0,0.009427609427609427,4
NeedlePick,calibration,5362,0.5,0.45,0.5,0.45,1.0,1.0,0.0,0.0,4
